,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96
1027,-3705,9244,2754,-7770,26946,-6783,7822,13678,-19205,11164,24927,-10032,-14412,36117,-14257,-4645,17469,-15265,17578,3867,1465,-15342,-135,-39957,-18969,-63582,7086,-18992,6887,27273,-77167,-29694,-27925,-27806,20117,10760,-101825,12900,-3877,-63696,18676,7670,-61390,5287,-21358,-41144,5222,-2941,-53303,26006,20732,-45132,35818,-3683,-16968,18009,7188,-636,-11023,-15357,-9086,23131,25556,-38489,45147,-12161,4978,11250,-4751,-8420,22624,-12116,-14936,8189,-2668,-24816,27054,-1669,-4378,4168,1254,-38484,5492,-31192,13568,20115,4751,-15648,40497,6266,-11461,-8541,-8042,-26198,7394,-14222
1028,-56137,-19595,-8599,-172218,-49898,-63658,-32173,-32138,-7186,-358808,3769,-111637,-75235,-28776,25737,-325017,72527,-5768,-49458,-27213,-12444,-100478,65015,25462,-21492,-16343,-637,-43794,6005,-14524,11652,3928,-15269,4152,-17596,4506,-19050,-4150,-29683,6638,-32419,-16433,-3314,15066,-29458,-17272,-21462,-13017,-23084,15145,-16916,-8940,17423,-17157,-17665,5391,8554,-2254,-31768,-24303,3863,8830,7063,-5208,-24854,-7885,-11065,-5104,-6081,-16335,-4486,-3264,12255,-569,-2597,18463,26654,11272,29878,4461,-7105,-19259,11550,-22476,7373,18362,11354,-6169,23690,5361,-1349,20972,-20790,-10000,3826,-1809
1029,-55838,11722,5668,9285,2784,6058,-52948,60730,-1406,13852,-280,518,-17828,-3654,-9192,-12421,1556,20283,-38020,-1226,12450,-13062,28416,-6903,-23399,12676,6129,-30759,12489,-8814,-8569,16284,23969,-18192,16397,948,-19541,19666,-5432,-12453,43783,-14400,-14447,-17327,-1354,-26269,-19028,-9844,-12966,1800,-8590,-42586,6694,5373,-42251,-1290,20829,856,4041,-27620,12667,-4962,-3506,7541,-14732,-27177,-15805,-16701,-1643,-37295,-11096,-17678,14787,35793,-16052,-30970,32317,24603,-5179,-3057,-18911,9023,12439,-13413,-19059,20802,-9566,-41559,-8675,-43985,-44757,-719,-30539,-42518,-11846,-12001
1030,-7503,10336,4242,-1524,33025,-7488,6684,-4509,-13605,-6968,36093,-25138,21391,11041,-2707,-37404,23131,-6272,-18762,34320,-4010,-985,70714,4015,-21334,31485,1833,-36818,35040,21770,-17994,31176,626,18911,36068,6811,12788,21107,20270,19255,42615,17683,-24171,38503,9200,-16337,30076,-5781,-18203,44911,29432,-39527,46067,-10951,-41520,37767,6995,-55148,66770,-13953,-56201,61300,3303,-34608,73144,-20681,-42334,42552,-2615,-8995,-4043,-7950,136,20807,5267,20615,-13179,-16954,9360,23718,10586,272,-15075,-15162,26212,11770,-11037,11043,-4177,786,-16401,-325,-26800,-5498,-12864,-7747
1031,-7874,6217,12705,-7701,316,-8314,-14370,-1933,27468,-14185,11330,-31347,17765,5834,232,-8095,12107,22621,93,31499,10162,633,8648,-2597,-24527,5896,767,-10799,-15586,4333,22832,14671,2289,-4500,-4450,2726,2807,-9879,-3605,24756,-26147,-26197,28321,8590,30794,-10749,5580,7490,10887,-40461,23144,3548,-14835,-8079,-33237,-5914,-2076,-22838,-23695,-11992,-18664,-16497,9978,-80322,-5470,-25393,-44795,-13400,3464,-4706,2048,14821,-14835,12883,6764,-43921,2191,8466,-26394,-4232,-7205,520,5414,20427,-13802,2031,-8377,-10028,326,-1324,3364,8141,17861,-3787,20275,9099
1032,-12823,-6120,2927,801,-21479,-2850,-30659,-8882,-31706,7746,-27417,-16028,19625,-10219,-4966,32793,-15382,17732,-17326,-4724,-22563,-4675,-8168,5828,-8107,7387,-10301,-16631,4505,-22491,-3302,30529,-16927,-22920,2933,-17083,13032,23988,-10645,-20472,25475,-16922,-23819,34193,-3867,3308,20218,-32326,-20934,35245,12260,-15406,37554,-9202,-18887,24587,-554,-33764,25478,-32537,-40545,50080,-1174,-45159,44631,-37287,-38977,1361,-2146,-9934,932,21479,29073,-6685,-16960,30017,-2242,-8829,12365,-32753,-14039,-3505,7433,-5268,8326,2335,11290,14699,7614,-16880,10425,25570,-2281,11851,21936,13131
1033,-11514,-20607,11838,-7788,34637,26079,-20042,-35210,31234,1996,6604,32271,25278,-26592,24535,12878,-1167,20354,11699,-11324,30633,10646,25246,21394,4161,19848,26204,2124,8939,9163,23166,-6435,3074,-7086,3368,3240,-15739,17444,7133,4927,18744,23211,-14070,38629,27202,-29472,-4885,-15243,-47547,4256,22832,-52510,994,22389,8097,43506,33143,-22593,-1027,1952,-30891,72071,23646,-38435,25780,20458,-17397,58039,16855,-6606,10090,-457,-50655,24668,31103,-32853,34700,15849,-14488,6905,-644,9695,-6057,13701,5961,12671,39535,-29455,6814,16,10227,-7140,15627,-15213,-5876,-26503
1034,-24875,5709,-7163,-26107,-51370,-23936,-44991,5840,-18239,-69747,-33296,-37274,-62166,-19695,10047,-98473,821,-38666,-58283,5466,-9994,-109618,39392,-29833,-88484,17421,6702,-139216,65911,21499,-65985,9655,3398,-117153,5932,22430,-41246,16009,18771,-20103,-14000,15173,-17401,-3402,-17824,24044,-3476,18404,10677,17332,-4906,-2490,37862,3991,15533,24373,-6083,9913,26506,23685,7033,35215,504,8575,6801,17161,-21839,11247,-5860,-4638,19274,6594,-3754,6577,14000,-7370,14220,2067,-26864,11739,849,-8497,-4063,27516,3875,-8878,1438,17094,22990,29256,17107,31546,24241,7337,7615,16812
1035,-9799,18463,1193,-6570,16384,-15147,-8850,8257,-9031,-48744,9685,-10415,-52789,-12028,-11417,-44831,25360,1790,-81486,-20478,10641,-32841,-14045,-17664,-105710,19897,-3897,-58869,-16619,7170,-89398,48665,16589,-39472,48593,29972,-27207,19089,8103,-869,30437,25808,-5511,41720,11955,-10368,21004,-18099,1456,12977,-34623,29684,-8780,-53437,6668,8689,-9771,39277,-31516,-50837,-5580,5953,-30879,-11114,-9993,-16952,-46294,-8150,-2792,-17347,5628,-5351,-37927,-20339,-3020,-4275,-23774,-18262,-21579,-2880,-6943,-3377,-4361,-32835,-10751,-15130,-9101,-13287,-22907,-25438,-10320,4300,-38148,4584,-14098,-20983
1036,-36845,45975,25992,-27247,20856,-21852,-52314,78258,-17928,-19215,27540,-2755,-42858,5590,-16462,34831,11413,-17888,18984,323,-8697,-1166,1021,-3735,6815,1042,-15494,-9146,43094,1769,28737,6182,-739,-26950,23356,11268,20287,7625,1623,15918,71663,50590,1132,38161,43607,15163,57018,20564,4508,66482,34256,-4754,6994,16829,22365,41826,-12219,8412,13425,15773,22894,14800,-22891,380,18055,40380,-21808,7393,6753,-14036,17764,30843,-19679,18486,-21334,-30079,4995,12246,-26464,-3211,-2972,6423,19100,26556,2639,-1777,3635,22236,-11161,7230,-24971,-5297,5440,-3958,15306,-937
1037,4475,3373,3264,9535,18903,-2771,14262,15547,-12272,4657,20073,-3661,7466,33572,-5554,19942,-32347,8359,5866,-3423,12997,4076,754,880,-5106,-4454,35539,14403,-13905,27652,-24580,10863,33732,-18841,-2198,18468,-16500,-17164,7298,-33021,801,2603,-18272,-27940,16362,-22512,6659,9993,-9735,-13558,13914,-26902,10751,6341,-6499,11046,9883,24521,-5773,24991,-15113,14929,15304,-13638,2286,10812,-19589,-5385,7791,-35291,-2263,22346,-61884,70146,40503,-55717,6163,5439,-155143,111003,-4517,-65574,49549,15361,-95521,71910,-24263,-23820,2215,-9540,-21485,-21217,11609,-34855,-17068,4253
1038,9627,-3179,-18407,-81858,20434,-1418,758,-814,-4781,-26109,-180,-13799,17687,-23882,-24302,6576,-19881,-26506,7633,12860,-24920,61147,2637,-19075,25424,4541,30811,1582,-22548,-32564,10178,-13174,-30570,-7157,22045,-8035,6881,17330,-14977,5020,24243,4611,22740,21556,-12368,1788,5577,-7114,-21847,-6900,-5249,-17879,10051,-22445,-13147,-14954,2770,19801,20920,1133,5729,-9057,-14406,-10632,24129,-3006,-15109,-24748,10795,-11491,12419,-21764,-7164,193,-768,-15674,-3037,-21339,-13682,-31797,12691,-11001,1165,-36057,-2130,-5236,-2779,9855,-10430,-17033,-14306,-17123,-10855,10077,-10582,-3038
1039,-6458,23918,17953,-31135,35511,-25315,-58726,83518,-19468,-34254,48640,-4411,-35499,30190,3646,-24583,15777,29469,1711,8052,-4931,-3177,4886,-3416,17971,11742,-2480,-18172,20065,5875,16081,4536,-4164,24499,18522,427,-7857,22071,13976,-13009,8669,-7182,-6447,-33281,-9572,-438,24321,4903,-25351,4057,-11972,14560,27529,7919,356,17095,10382,-11155,34509,-702,16840,13384,-2999,17919,33618,15915,26329,43448,1903,21321,3309,712,12298,22115,667,18212,20858,4987,-6890,26725,2930,14471,20231,-1244,-23681,27327,-3246,-3064,3115,-20543,-10011,7175,4255,-6369,11695,-2740
1040,15003,-5915,7669,12755,1160,21712,25718,196,3482,12461,-40931,6261,18202,-11850,-24620,-6369,-13128,-8259,7658,845,-16334,-480,-22557,-13769,-19496,38530,-4215,-46079,27736,-21187,10676,-13985,9223,-73516,63912,-32783,3666,24663,2455,-28149,19839,-10345,-8144,-3822,-7081,2219,7160,-1607,-4998,-14965,4288,14095,-7332,-4031,22448,1749,-16138,2488,21892,-28846,-5323,-7479,-11438,9467,9431,-17337,10833,-25697,-14360,10076,5538,3380,10005,9066,-31279,-3143,20438,-1181,5391,17620,7387,24648,6795,14248,12618,-13915,-5540,-24620,17181,1601,-18218,4192,-6161,-1625,-13908,5903
1041,1934,-27227,-8407,-11914,-26840,12994,-14486,-18185,-20886,8869,-18712,-11879,-76146,38581,-28583,4353,26840,19543,-102357,37800,-4914,-36410,39089,22468,-52742,35709,-933,-16604,1829,-34,-19096,-8938,1373,-11552,8370,26856,-41901,-4088,-5498,8739,12861,36510,-26909,17839,27103,13570,-7395,24504,-23466,-25297,3983,-1068,-667,15331,-23410,-11659,17706,25731,-1244,34115,-23391,-7794,34460,10764,-8055,19015,20307,3624,21640,9852,-10301,13416,-2768,-23253,5250,12293,-22965,10972,7185,-10514,-19935,-8452,-16543,11423,-23636,-15226,13448,-11574,-30999,14453,-3718,-24364,22017,8489,-14954,-397
1042,-28437,4964,-2925,42769,23472,-26110,-84637,19458,-15433,31488,48214,-9780,-43334,11154,1695,29695,20159,-20833,-15366,9415,6636,13309,18758,-2144,23110,39930,-22421,-11597,30234,-10205,-11797,35441,5440,-1958,8575,-1610,21687,42056,15136,14089,6714,-5934,26047,10761,11708,6707,27193,1194,-11260,22125,-18894,38879,9861,-5921,-342,19808,2111,5704,38956,13498,5078,19680,-11072,30892,6437,-5590,2916,4313,-15825,-5250,8360,-9525,-13335,11712,-2311,19911,4596,8361,18938,19840,23451,-72,4737,-13199,35607,-1907,-18911,35090,20320,12574,33479,712,-9059,12623,-882,-15900
1043,-5018,597,21348,-5111,-606,21666,-13404,31236,29798,-13704,36077,-3142,-19203,1918,17650,8140,29884,-6633,-32792,15039,8044,-18645,35829,-9729,6033,25331,11802,-5737,32875,22115,2125,12437,4293,-8227,20591,-9169,-42586,24724,-23401,-29907,-6579,-22107,8224,20859,-25068,-4869,21952,-15663,6529,25916,-9349,-29995,13372,-9829,-37902,36036,14156,-105075,58427,15133,-37343,6470,-4477,-63212,71449,16387,-43805,47317,-8214,-13749,-8337,21886,-45051,26038,3726,-43414,-891,-23337,12076,5944,10156,5880,2881,18639,19586,30468,12307,1217,-7862,23075,-14991,-5098,9307,-9313,13934,16743
1044,-7556,-2542,-7695,-667,32685,-12257,16613,1370,-8475,13274,-17999,3532,6974,30424,26470,-7228,-39713,3080,-11883,9268,-10766,-29411,-20152,-16487,11487,-19192,16503,-67767,22305,17996,-11781,6095,-22685,-46649,-7838,-1945,5790,15777,-13855,-30856,27371,19547,-3660,2637,-2119,74,21797,-18583,1643,-17769,-11341,19565,12758,8290,-32676,14372,1112,26373,-16970,13569,-4211,-7007,-26819,14410,278,17340,18629,-28379,-12025,5199,-14167,2945,9370,692,-1424,-1745,-17747,-7188,15351,-10136,1563,18421,-11459,13973,12418,-19033,6770,14248,15093,-19120,9942,20063,32335,-6831,1644,-621
1045,-37953,-357,-27761,-11640,9534,7120,-20492,-30899,-5996,9513,-5169,-4382,-24444,-9305,-14536,-9028,5861,12794,-7046,11571,4547,436,5198,-18302,9496,-14057,7238,-13302,-20850,-23452,-44644,-8533,8943,-2844,9699,20557,-18889,-17504,-13688,21455,-10488,10852,12628,-25939,-19737,1672,-14563,12028,-5996,-2146,16705,-29081,5747,1599,-27722,5833,19696,-8905,2830,1967,-27777,-7022,28297,-8863,315,-9320,-15873,-14779,8570,-47195,-21096,-24109,-8672,-6168,-14307,-3004,15363,14991,1280,17783,12981,-4232,1352,-704,-13863,20532,-8824,16395,-5920,27341,-11065,-9755,-25489,8807,-17457,10361
1046,35026,28300,194,13422,26438,10769,28170,36237,17693,54296,3995,-1353,-3517,19795,-8700,37171,10732,-10491,40359,46297,-15566,52359,30275,-8015,17691,54439,-635,34924,41460,11488,4412,35466,5527,24981,17983,3659,19534,1584,12438,50946,2148,14619,-5107,-3931,12558,4329,-8805,24656,-15867,-18306,-12050,-36279,-1800,17679,-99709,14573,-10285,-181,-27263,31630,-21532,27888,14893,-22880,592,-2854,7241,894,13304,1103,38076,-5360,34176,-17578,-11616,-32757,9599,20813,-14647,22002,3550,-2892,-4197,4585,-6253,3542,23526,-1726,-15777,-14389,-4296,-27198,-10203,-2458,1882,8691
1047,2814,-8296,5268,7468,-28959,33720,-19530,-3588,11337,-30040,-5779,28833,-4937,-24597,-22330,33043,-5450,10998,8787,-484,-14172,-37784,12765,-10754,-1250,41834,-19519,1829,-648,8343,16013,4785,11055,-4008,37822,6446,5840,22415,-16307,8445,21417,17650,-2328,-14328,12537,27036,-24669,14475,12540,-30124,16512,-19265,-12492,20623,-95381,27560,-24929,147,-8012,-23315,-29143,22688,-1940,31251,26124,21300,-22118,-3925,-20493,7874,7509,10969,-1230,19756,-24310,7380,-5627,36321,-435,-9068,13323,6592,6357,-16602,-1562,19464,15647,-5545,8807,-16076,6091,-14314,-14453,-24422,669,23837
1048,9422,-1480,8689,-4020,-42177,9363,-22371,-21103,7257,-20591,-63604,3214,5411,-8163,14781,11089,-15162,22263,-3533,-35425,-17260,4142,-39551,10756,-5595,-4076,-5112,26367,-23998,38785,-9361,4905,-13839,24775,-44000,-19991,16852,-16107,9020,26801,-59463,-5905,44616,-29750,-24093,24738,-23135,-20692,31358,17835,-3238,435,-14546,2484,13578,-2405,-3628,25355,-17587,-3038,-724,13850,12755,1650,5880,-16237,-14308,-10647,-17841,-276,11026,-15647,-14772,49635,428,-62570,4075,-6120,-132003,109092,-49962,-34010,27098,-40121,-86922,75528,-52460,-28507,10301,-38413,-14896,-1186,-16436,-9217,-32791,9108
1049,-678,27340,-6198,-6466,18844,-4546,-16798,28089,-3940,36867,-7365,1947,22488,32756,-29750,6502,17203,-25619,14572,5745,-8910,6425,-6789,-29623,24914,-9353,-3851,-8133,12281,1417,27886,1360,-22135,-47931,19002,-9080,-4654,-40546,-27463,-12750,-5149,-4243,-954,-16430,804,-1621,6223,-18097,-21623,16639,-8655,-25654,3913,6345,-15074,18309,-20396,-8010,9211,11053,-21765,18389,-14670,-17909,639,9832,-18497,17254,19822,-32629,44995,-15465,-19308,53141,-9474,-43340,28793,-5349,-121974,152413,-19171,-42953,66207,-17587,-68515,98884,-28090,-38307,21538,-36204,795,36553,-30187,10002,1709,-2775
